2021-04-20
+------------------------------------------------+--------+
|                      Card                      | Price  |
+------------------------------------------------+--------+
|            Solemn Judgment MRD 1st             | 1200.0 |
|             Book of Moon Super CP              | 900.0  |
|            Chaos Sorcerer Ultra TU             | 899.99 |
|      Black Luster Soldier EOTB Ultra 1st       | 899.95 |
|           Maxx C Ultimate 2spa 1eng            | 750.95 |
|   Trap Dustshoot Super CP 2 english 1 german   | 449.99 |
|          Tour Guide Ultimate Italian           | 425.99 |
|      Lumina, Lightsworn Summoner Super CP      | 369.99 |
|           Dark Armed Dragon Ultimate           | 365.0  |
|            Judgment Dragon Ultimate            | 340.0  |
|         Crush Card Virus Ultimate 1st          | 299.99 |
|      Allure of Darkness Ultimate 1st ita       | 293.99 |
|        Caius shadow monarch Ultimate TU        | 288.0  |
|           Effect Veiler Ultimate 1st           | 267.45 |
|             Spirit Reaper Super CP             | 259.99 |
|   Overload Fusion Ultimate Unlimited german    | 250.0  |
|      Power Bond Ultimate Unlimited german      | 250.0  |
|         Diamond Dude Ultimate 1st ger          | 249.98 |
|   Pot of Greed Ultimate 1st - 2 EN 2 Foreign   | 244.98 |
| Pot of Avarice Ultimate 1st 2 german 1 english | 218.0  |
|              DD Crow Ultimate 1st              | 210.0  |
|              Doom Lord Rare DR04               | 199.95 |
|            Foolish Burial Super CP             | 193.0  |
|               Dandylion Ultimate               | 192.05 |
|      Lightning Vortex Ultimate 1st french      | 185.0  |
|     Plaguespreader Zombie Ultimate 1st ITA     | 182.21 |
|          Thunder King Rai-Oh Ultimate          | 169.5  |
|             Honest Ghost Unlimited             | 149.97 |
|        Mystical Space Typhoon Ultimate         | 149.0  |
|           Solem Warning Ultimate 1st           | 133.13 |
|       Emegency Teleport Ultimate 1st ger       | 130.0  |
|               Tsukuyomi Ultimate               | 124.94 |
|               Sangan Super RP01                | 120.0  |
|               Maxx C Secret 1st                | 115.99 |
|            Dark Grepher Secret 1st             | 112.97 |
|        Allure of Darkness Ultimate Unl         | 104.87 |
|            Smashing Ground Super CP            | 99.99  |
|           Machine Dupe Ultimate 1st            | 98.98  |
|             Tour Guide Secret 1st              |  97.0  |
|           Torrential Tribute LON 1st           | 94.89  |
|        Tragoedia Ultimate 2 ENG 1 italy        |  94.0  |
|       Monster Reincarnation Ultimate 1st       | 91.82  |
|      Glowup Bulb Ultimate 2 eng 1 italian      |  90.0  |
|             Debris Dragon Ultimate             | 89.99  |
|               Rescue Rabbit 1st                | 79.49  |
|            Enemy Controller AST 1st            | 78.99  |
|           Cyber Phoenix Ultimate 1st           | 71.99  |
|           Archlord Kristya Unlimited           | 69.95  |
|           Thunder King Rai-oh Secret           | 64.87  |
|             Pot of Duality Scr 1st             | 55.75  |
|       Solar Recharge Ultimate Unlimited        |  50.0  |
|   Black Luster Soldier EOTB Ultra Unlimited    | 45.98  |
|  Charge Of The Light Brigade Secret Unlimited  |  45.0  |
|             Krebos Super TU German             | 44.99  |
