2021-04-20
+------------------------------------------------+--------+
|                      Card                      | Price  |
+------------------------------------------------+--------+
|             Book of Moon Super CP              | 534.49 |
|           Maxx C Ultimate 2spa 1eng            | 436.23 |
|           Dark Armed Dragon Ultimate           | 416.24 |
|            Judgment Dragon Ultimate            | 315.33 |
|      Lumina, Lightsworn Summoner Super CP      | 279.99 |
|   Trap Dustshoot Super CP 2 english 1 german   | 268.97 |
|             Spirit Reaper Super CP             | 259.93 |
|          Tour Guide Ultimate Italian           | 225.78 |
|            Foolish Burial Super CP             | 185.73 |
|            Chaos Sorcerer Ultra TU             | 182.42 |
| Pot of Avarice Ultimate 1st 2 german 1 english | 169.95 |
|           Effect Veiler Ultimate 1st           | 133.85 |
|              Doom Lord Rare DR04               | 124.99 |
|      Power Bond Ultimate Unlimited german      | 124.99 |
|               Sangan Super RP01                | 117.01 |
|      Allure of Darkness Ultimate 1st ita       | 112.33 |
|        Allure of Darkness Ultimate Unl         | 112.33 |
|          Thunder King Rai-Oh Ultimate          | 111.4  |
|               Tsukuyomi Ultimate               | 107.83 |
|        Mystical Space Typhoon Ultimate         | 97.18  |
|              DD Crow Ultimate 1st              | 92.66  |
|             Honest Ghost Unlimited             | 91.24  |
|        Caius shadow monarch Ultimate TU        | 81.95  |
|        Tragoedia Ultimate 2 ENG 1 italy        | 77.79  |
|               Dandylion Ultimate               | 76.13  |
|           Solem Warning Ultimate 1st           | 71.57  |
|            Smashing Ground Super CP            | 71.54  |
|   Pot of Greed Ultimate 1st - 2 EN 2 Foreign   | 65.77  |
|           Machine Dupe Ultimate 1st            | 65.23  |
|           Archlord Kristya Unlimited           | 59.06  |
|             Tour Guide Secret 1st              | 58.53  |
|               Maxx C Secret 1st                | 53.63  |
|      Lightning Vortex Ultimate 1st french      | 52.77  |
|             Debris Dragon Ultimate             | 52.55  |
|       Emegency Teleport Ultimate 1st ger       | 51.53  |
|      Glowup Bulb Ultimate 2 eng 1 italian      | 50.52  |
|   Overload Fusion Ultimate Unlimited german    |  49.0  |
|       Monster Reincarnation Ultimate 1st       | 45.23  |
|         Diamond Dude Ultimate 1st ger          | 44.67  |
|  Charge Of The Light Brigade Secret Unlimited  | 44.56  |
|       Solar Recharge Ultimate Unlimited        | 44.47  |
|            Dark Grepher Secret 1st             |  40.2  |
|             Pot of Duality Scr 1st             | 38.69  |
|             Krebos Super TU German             | 37.28  |
|      Black Luster Soldier EOTB Ultra 1st       | 36.38  |
|   Black Luster Soldier EOTB Ultra Unlimited    | 36.38  |
|         Crush Card Virus Ultimate 1st          | 32.06  |
|           Thunder King Rai-oh Secret           | 27.81  |
|               Rescue Rabbit 1st                | 25.12  |
|     Plaguespreader Zombie Ultimate 1st ITA     | 24.98  |
|  Plaguespreader Zombie Ultimate Unlimited EN   | 24.98  |
|           Cyber Phoenix Ultimate 1st           | 22.97  |
|              Battle Fader UTR 1st              | 21.69  |
|          Future Fusion UTR Unlimited           | 18.02  |
|           Torrential Tribute LON 1st           | 17.26  |
|               Dark Hole Ultra TU               | 15.14  |
|               MST MRL Unlimited                | 14.77  |
|              Necro Gardna UTR Unl              | 14.75  |
|            Solemn Judgment MRD 1st             | 13.84  |
|         Solemn Judgment MRD Unlimited          | 13.84  |
|                   Gorz RP02                    | 11.65  |
|            Enemy Controller AST 1st            |  9.0   |
|                   Gorz DLG1                    |  2.22  |
|                      test                      |   0    |
+------------------------------------------------+--------+
2021-04-20
+------------------------------------------+--------+
|                   Card                   | Price  |
+------------------------------------------+--------+
|          Dark Paladin 1st Ultra          | 393.32 |
|      Dark Magician Girl Secret 1st       | 321.87 |
|      Dark Magician Girl Secret UNL       | 321.87 |
| Winged kurbio lvl 10 ultimate 1st german | 279.79 |
|       Red Eyes Black Metal Dragon        | 195.97 |
|     neos dolphin ultimate 1st german     | 173.7  |
|        Blue-Eyes White Dragon LOB        | 164.18 |
|      bladeedge ultimate 1st italian      | 158.16 |
|          Dark Magician BPT 2002          | 154.85 |
|      Red Eyes Black Dragon BPT 2002      | 137.87 |
|        Blue Eyes Toon Dragon MRL         | 136.42 |
|            Obelisk JUMP PrScr            | 126.78 |
|           EHERO clayman secret           | 111.34 |
|     Blue Eyes White Dragon BPT 2002      |  99.9  |
|        Slifer The Sky Dragon YMA         | 95.79  |
|         Dark Magician Girl LCYW          | 92.14  |
|            EHERO Burst secret            |  89.8  |
|  neos dark panther ultimate 1st german   | 84.72  |
|         The Winged Dragon of Ra          | 84.17  |
|            EHERO Spark secret            |  83.3  |
|       cyberdark horn Ultimate 1st        | 69.56  |
|     miracle fusion Ultimate 1st ger      | 64.85  |
|   neos grand mole ultimate 1st german    | 63.23  |
|    Chaos Emperor Dragon Ultimate 1st     | 58.71  |
|        cybedark keel Ultimate 1st        | 54.77  |
|            EHERO Avian secret            | 54.49  |
|                Metalmorph                | 54.11  |
|               Exodia Head                | 52.02  |
|             Jinzo Secret PSV             | 50.83  |
|            Dark Magician LOB             | 50.78  |
|       skyscraper Ultimate 1st ger        | 49.99  |
|   Chaos Emperor Dragon EOTE Secret unl   |  49.0  |
|     Chaos Emperor Dragon Secret 1st      |  49.0  |
|         Gate Guardian Secret 1st         | 48.79  |
|               Red Eyes LOB               |  48.6  |
|            Yata-Garasu Secret            | 48.53  |
| Dark Paladin Ultra Unlimited Reprint Art | 46.58  |
|   EHERO bubbleman ultimate 1st german    | 43.72  |
|   Black Luster Soldier EOTB Secret MC2   | 41.92  |
|        neos air bird ultimate 1st        | 39.99  |
|          Dark Magician of Chaos          | 37.14  |
|           Summoned Skull Ultra           | 35.66  |
|             sangan ultra tu              | 35.39  |
|  neos flare scarab ultimate 1st german   | 34.07  |
|          B. Skull Dragon Ultra           | 31.53  |
|          Delinquent Duo MRL 1st          |  30.0  |
|       Delinquent Duo MRL Unlimited       |  30.0  |
|            Queen's Knight UTR            | 29.67  |
|          Cyber Jar Ultimate 1st          | 29.41  |
|            Time Wizard Ultra             | 28.86  |
|       Dark Magician Girl RDS Ultra       | 27.66  |
|       Injection Fairy Lily Secret        | 25.95  |
|            Gemini Elf Secret             | 25.51  |
|            Jack's Knight UTR             | 24.93  |
|      Ring of Destruction Secret 1st      | 23.78  |
|      Ring of Destruction Secret UNL      | 23.78  |
|      Blue Eyes Ultimate JMP Secret       | 23.15  |
|    Breaker the magical warrior secret    | 22.25  |
|             Exodia Left Arm              | 21.18  |
